text,translation,target
still hav my cough! now it mite be bronchitis!  bec everytime i cough my chest hurts! so dont lik doctors...,"încă am tusea mea! acum s-ar putea să fie bronșită! pentru că de fiecare dată când tușesc, mă doare pieptul! așa că nu-mi plac doctorii...",0
Splish splash  welcome summer,"Plouă cu stropi, bun venit vară",4
"Okay, apparently I DIDN'T miss the deadline for JB m&amp;g's, but it would be kinda lame to win, I would feel really bad about it. ","Ok, se pare că NU am ratat termenul limită pentru întâlnirile cu JB, dar ar fi destul de plictisitor să câștig, m-aș simți foarte rău din cauza asta.",0
@stacey_baby good morning girlie  How are you? xo,"@stacey_baby bună dimineața, fetiță. Cum ești? xo",4
@Lemonpi is it the one on your blog? next will be mushrooms ,@Lemonpi este cel de pe blogul tău? următorul va fi cu ciuperci,4
Who is going to the Online Fashion 100 party tonight in London? I am invited but nobody to go with ,"Cine merge la petrecerea Online Fashion 100 diseară în Londra? Sunt invitată, dar nu am cu cine merge",0
lol @QueenLizII - maybe the Queen does tweet! ,lol @QueenLizII - poate Regina chiar tweetează!,4
"ohhh! and and and, haha, lol. Swag? igotmyswagback?? HAhaa. Honestly I feel flattered. ","ohhh! și și și, haha, lol. Swag? igotmyswagback?? HAhaa. Sincer, mă simt flatată.",4
@wimjimjam yes yes yes... stupid people  UNLESS it's my twitter use? ROFL...but I use wi-fi at home :/,@wimjimjam da da da... oameni stupizi CU EXCEPȚIA cazului în care e vorba de utilizarea mea pe Twitter? ROFL... dar folosesc wi-fi acasă :/,0
soooooo i finally joined twitter... what do you know. and terminator was freaking awesome!!!!! christian totally made that movie ,Am intrat în sfârșit pe Twitter... ce crezi. Și Terminator a fost incredibil!!!!! Christian a făcut complet acel film,4
"it's not my job to know anybody, anybody says so, I would immediately keep distance with them......... ","Nu este treaba mea să cunosc pe cineva, dacă cineva spune asta, aș ține imediat distanța de ei.........",4
"Been working hard. London had glorious weather, came back to Kent and it was raining ","Am muncit din greu. Londra a avut vreme minunată, am revenit în Kent și ploua",0
yay! I'm leaving for Dallas! @cutekiwi you are still invited! ,yay! Plec pentru Dallas! @cutekiwi ești încă invitat!,4
@BBManik naw  are you!?,@BBManik naw  tu ești!?,0
R.I.P. Sidekick. You've been through quite a lot with me ,R.I.P. Sidekick. Ai trecut prin multe cu mine,0
embarrassed. reality check ,jenant. realitatea este crudă,0
I don't feed into bullshit.... Sorry  awwwwww what a cock succer !!!!!!!,Nu mă las păcălit de prostii.... Scuze  awwwwww ce supt-coa** !!!!!!!,0
@savagestar That would be cute ,@savagestar Ar fi drăguț,4
eaten way too much junk food. feel as if i'm about to explode! not good ,am mâncat prea multe prostii. mă simt ca și cum aș exploda! nu e bine,0
gonna watch 'the outsiders' ,o să vizionez 'the outsiders',4
Aplusk..are u tlking to me?? ,Aplusk..vorbești cu mine??,4
On the phone with my baby. I miss him so much. ,La telefon cu iubitul meu. Îmi lipsește atât de mult.,0
@jendavis I understand! I've put 70k on the car I've had for just 3 years ,@jendavis Înțeleg! Am pus 70k pe mașina pe care am avut-o doar 3 ani,0
Fuddruckers with @gcmilatzo ,Fuddruckers cu @gcmilatzo,4
@DonnieWahlberg hope ya hit the Waffle House up in VA Beach too!  ,@DonnieWahlberg sper că vei merge și la Waffle House în VA Beach!,4
watching lost and then i got to v=cover 150 pages ,mă uit la Lost și apoi trebuie să acopăr 150 de pagini,0
...I personally had my fill of the Sister Mary Margaret(s) something or other. 12 yrs of catholic school...so done. ,...Personal am avut destul de mult de-a face cu Soră Maria Margareta ceva. 12 ani de școală catolică...suficient.,4
So upset that spring break is like over ,Atât de supărat că vacanța de primăvară s-a terminat,0
"Up was amazing! I love Doug the dog, must get a stuffed one at WDW, I hope to one day see my name in the credits for a Disney movie ","Up a fost uimitor! Îmi place câinele Doug, trebuie să iau unul de pluș de la WDW, sper să văd într-o zi numele meu în genericul unui film Disney",4
"Soooo, song of my night - beep  by bobby v.  I miss my mommy.  . But i will be w/ her in the a.m . Jimboy's was on hit tonight !",Cântecul nopții mele - beep de bobby v. Îmi este dor de mama mea. Dar voi fi cu ea dimineața. Jimboy's a fost pe val în seara asta!,0
@mkeguy69 thank you  have a great weekend,"@mkeguy69 mulțumesc, să ai un weekend minunat",4
@Fernwise  also with runes keep it simple as possible,@Fernwise și cu rune ține lucrurile cât mai simple posibil,4
Had a great time last night skyy vodka does the body good... until the next morning.  hehe,"Am avut o seară minunată aseară, vodka Skyy face bine corpului... până dimineața următoare. hehe",4
@KrsytalNichole....What???? He better stop it!  Its amazing how u meet someone out the blue and click with them instantly! ,@KrsytalNichole....Ce???? Mai bine să se oprească! Este uimitor cum întâlnești pe cineva din senin și te înțelegi instantaneu cu el!,4
@Cause4Conceit And I luv it!! But I'm very hurt that only Sam Goody had the album in my city and they sold out!! ,@Cause4Conceit Și îmi place!! Dar sunt foarte rănit că doar Sam Goody avea albumul în orașul meu și s-au epuizat!!,0
"oh man I read all of your tweets of Jon and Kate, you guys were right, this is tragic sad.  oh man","oh, omule, am citit toate tweet-urile voastre despre Jon și Kate, aveți dreptate, este tragic și trist. oh, omule",0
@caldjr aw hope you feel better soon ,"@caldjr ah, sper să te simți mai bine în curând",0
Super annoyed. I wrote a blog that took me 2 hours to write. And its gone now and i didn't get to save it. ,Super iritat. Am scris un blog care mi-a luat 2 ore să-l scriu. Și acum a dispărut și nu am reușit să-l salvez.,0
"U know 1st date awkwardness? Twitter is just like that. But the more you hang out 2gether, more comfortable u become ","Știi acea stângăcie de la prima întâlnire? Twitter este exact ca atât. Dar cu cât petreci mai mult timp împreună, cu atât devii mai confortabil",4
@fudosan - I'm still keen to look more at Android. I have been flat out getting my new laptop sorted out. ,@fudosan - Sunt încă interesat să studiez mai mult Android. Am fost ocupat să-mi aranjez noul laptop.,4
@eastyyy wow congrats! ,@eastyyy wow felicitări!,4
"@pjraval They searched my person, too. One grabbed my stomach under my sweater. That's what I get for wearing a sweater in snowy weather. ",@pjraval M-au percheziționat și pe mine. Unul mi-a apucat stomacul sub pulover. Asta am pățit pentru că purtam un pulover în vremea zăpezii.,0
Mmmm slim fast and a fruit cup... Yummy breakfast ,Mmmm slim fast și un bol de fructe... Mic dejun delicios,4
i miss my baby in japan ,Îmi este dor de bebelușul meu din Japonia,0
"Eating PIJAHAT with @aileentanaga ,boya, jenni and erin ","Mâncând PIJAHAT cu @aileentanaga, boya, jenni și erin",4
@YellowHail  your picture is so small,@YellowHail poza ta este atât de mică,0
@jonathanrknight ......... ,@jonathanrknight .........,4
@suzanne_young it's nice isn't it... *pets shelf of pretty books* its just missing urs!!  lol,"@suzanne_young este plăcut, nu-i așa... *mângâie raftul cu cărți frumoase* îi lipsește doar a ta!! lol",4
"Writing an impossible research paper that is taking about 5 hours, more like 7. Dreading the other 2 essays I have to do nexttt ","Scriu un eseu de cercetare imposibil care îmi ia cam 5 ore, mai degrabă 7. Mă tem de celelalte 2 eseuri pe care trebuie să le fac în continuare.",0
@SuperKaylo where is the monkey island interview I can not find it  http://myloc.me/5zQG,"@SuperKaylo unde este interviul de pe Insula Maimuțelor, nu-l pot găsi",0
it's night already??? That was quick! ,e deja noapte??? A fost rapid!,4
At the gym. Pup is okay but needs eye drops and week off daycare for leg. ,"La sală. Cățelul este bine, dar are nevoie de picături pentru ochi și o săptămână de pauză de la grădiniță pentru picior.",0
I had forgotten just how lovely Loratabs are when in pain. Maybe sleep will be in my cards tonight. ,Uitasem cât de plăcute sunt Loratabs când ai dureri. Poate că somnul va fi o opțiune pentru mine în seara asta.,4
Watching naruto and josh stole my fruit snacks ,Uitându-mă la Naruto și Josh mi-a furat gustările cu fructe,0
"bearly got home   ugh need to wash clothes,shower,sleep and wake up early for summer school :@","Abia am ajuns acasă, trebuie să spăl hainele, să fac duș, să dorm și să mă trezesc devreme pentru școala de vară :@",0
@mitchelmusso I can't buy the album. I'm sad.  Reason: Australia. Need I say more? Congrats tho and all the best of luck!! &lt;3,@mitchelmusso Nu pot cumpăra albumul. Sunt tristă. Motivul: Australia. Trebuie să mai spun ceva? Felicitări totuși și mult noroc!! &lt;3,0
@wzzmypantz 12 hours + on doing 3 of my assessments which is due tomorrow ,@wzzmypantz 12 ore + pentru a face cele 3 evaluări care trebuie predate mâine,0
"&amp;&amp; i'LL confess that i can be a LiL seLfish,, smiLe ","și voi mărturisi că pot fi un pic egoistă, zâmbesc",4
"just used my new DevaCurl diffuser! LOVE IT 5 stars! not liking my new hair cut though, a little too short ","tocmai am folosit noul meu difuzor DevaCurl! ÎL IUBESC, 5 stele! nu-mi place însă tunsul meu nou, un pic prea scurt",0
@hazemtaji Did you buy a PS3? My xbox360 got the RROD ,@hazemtaji Ai cumpărat un PS3? Xbox360 meu a primit RROD,0
@jraimond  That sucks ,@jraimond Ce prostie,0
Coach B I just saw ur msg you were n okc!!!  4059239095!!! Call me sometime,"Antrenor B tocmai am văzut mesajul tău, ai fost în okc!!! 4059239095!!! Sună-mă când ai timp",0
@LisaHopeCyrus well i will have to goo soon ,@LisaHopeCyrus va trebui să plec în curând,0
@Jo6789 Indeed I do.  http://bit.ly/Iw9j9. Then again we are ESRI NZ  Estimating customers in NZ should recieve it sometime in June.,@Jo6789 Cu siguranță da. http://bit.ly/Iw9j9. Dar din nou suntem ESRI NZ. Estimăm că clienții din NZ ar trebui să-l primească undeva în iunie.,4
@jazzmouth Heh...never..I'll never go red commie...Mwuahahahaha!!! ROFL! ,@jazzmouth Heh...niciodată...nu voi deveni comunist roșu...Mwuahahahaha!!! ROFL!,4
My kitty's so snuggly and Designed to Sell is on. What else do I need? Hmm... maybe some food ,"Pisica mea este atât de drăgălașă și emisiunea ""Designed to Sell"" rulează. De ce mai am nevoie? Hmm... poate de ceva mâncare",4
@Joejonaslooover yeah  both were really hard i thought..,"@Joejonaslooover da, ambele au fost foarte grele, credeam...",0
WTF is going on with the Chiefs? Getting smashed at the 1/2 way point of the S14 final ,Ce se întâmplă cu Chiefs? Sunt zdrobiți la jumătatea finalei S14,0
@xohsnap OMG YOU'RE FINALLY FRIENDS WITH THE EMO FAG!!! ,@xohsnap OMG SUNTEȚI ÎN SFÂRȘIT PRIETENI CU EMO FAG!!!,4
@bibzee Damn its gonna take a long TIME!.. ,"Doamne, o să dureze mult TIMP!..",0
"@marenhogan nice.  didn't sing to mine.  Can't, but looking for lessons to change that.  ","frumos. nu i-am cântat al meu. Nu pot, dar caut lecții să schimb asta.",4
my sister woke me up at like 7  im tireddd. i hope today is fun...,"sora mea m-a trezit cam la 7, sunt obosită. sper ca azi să fie distractiv...",0
@taraschwarze Not sure my tweets will be up to usual standard for some days while I wake up ,"Nu sunt sigură că tweet-urile mele vor fi la standardele obișnuite pentru câteva zile, în timp ce mă trezesc.",4
No santigold for me tonight. work til 10 and I'm off tomorrow ,Fără Santigold pentru mine în seara asta. Lucrez până la 10 și sunt liberă mâine.,4
"Keeping my friend and her children in my thoughts today, as they mourn the loss of their husband/father who suddenly died yesterday. ","Îmi țin prietena și copiii ei în gânduri astăzi, în timp ce plâng pierderea soțului/tatălui lor care a murit brusc ieri.",0
@nokking kino sold out already. Popular also. Borders said they're not sure if they're even able to get copies ,kino deja vândut. Popular de asemenea. La Borders au spus că nu sunt siguri dacă pot obține copii.,0
"UP = soooooo good. i laughed, i cried. just so cute ","UP = atât de bun. am râs, am plâns. atât de drăguț.",4
"is SO close, but SOOOO fat away ","este ATÂT de aproape, dar ATÂT de departe.",0
@imsoblazedrtnow sorrrry poohh beaaarrr ,"scuze, ursule pooh.",0
"worse than i suspected, she was so disgusted in me, she wouldn't talk to me, i had to talk to the dentistry-class-taking receptionist, ","mai rău decât am bănuit, era atât de dezgustată de mine, încât nu a vrut să vorbească cu mine, a trebuit să vorbesc cu recepționera care făcea cursuri de stomatologie.",0
@KendallMK That makes me sad that people would be mean to their puppy cause it was acting like a puppy ,Mă întristează faptul că oamenii ar fi răi cu cățelul lor pentru că se comporta ca un cățel.,0
Thank you @tenketanken @lifeinthegalaxy @empowereddanfit for the love and for the retweets!  â¼ â¥ â« âª,Mulțumesc @tenketanken @lifeinthegalaxy @empowereddanfit pentru iubire și pentru retweet-uri!,4
Hmm spent hours with emma yesterday and a couple with Sarah today so why do I feel like I haven't seen them in ages ,"Hmm am petrecut ore cu Emma ieri și câteva cu Sarah azi, așa că de ce simt că nu le-am văzut de o veșnicie.",0
@pwbbounce uh oh  but is that not good? its not got a hidden meaning or anything that i dont know about has it?,"uh oh, dar asta nu e bine? nu are vreo înțeles ascuns sau ceva ce nu știu?",0
"bum notes: guess what, I'm now watching MMK. Those TV shows in the buses must have some effect on my tolerance for local TV channels.  ","note proaste: ghici ce, acum mă uit la MMK. Acele emisiuni TV din autobuze trebuie să aibă un efect asupra toleranței mele față de canalele TV locale.",4
@mmkrill Brings back memories ,Îmi aduce aminte de vremuri.,4
I know that I have issues but you're pretty fucked up too....so don't judge me ,"Știu că am probleme, dar și tu ești destul de deranjat... așa că nu mă judeca.",4
im putting skins on my ipod ,îmi pun skin-uri pe iPod-ul meu.,4
i'm yours - jason mraz....looking for an electric guitar  yay!!!1,"sunt al tău - Jason Mraz... caut o chitară electrică, yay!!!",4
@ShimTheDream i know i'm overdoing the anchorman thing but goddamn i just had to get that one in there. it was too perfect ,"Știu că exagerez cu referirea la Anchorman, dar Doamne, trebuia să o includ acolo. Era prea perfect.",4
@binged love the Twitter handle.   Is  this intended to provide support for all Bing addicts.  I feel like binging on #Bing. ,"Îmi place numele de utilizator de pe Twitter. Este intenționat să ofere suport tuturor dependenților de Bing? Am senzația că aș vrea să mă ""bing"" pe #Bing.",4
@mcflymusic say happy birthday nanda to @nanda_marinho please ,"Spune ""La mulți ani, Nanda"" pentru @nanda_marinho, te rog.",0
2 words. PARANOID~JONAS ,Două cuvinte. PARANOID~JONAS.,4
My exams just started  Boring.,Examenele mele tocmai au început. Plictisitor.,0
Le sigh @ riggens that make easy shit hard ,"@riggens, care face lucrurile simple grele, sigh.",0
"@dinnerlove so am i, and i dont know how to stop it... its been the WORST food too ","Eu la fel, și nu știu cum să opresc... A fost cea mai REA mâncare.",0
Waiting for Game 2 To Start! GO LAKERS ,Așteptând să înceapă Jocul 2! HAIDE LAKERS!,4
@just_J_ i love bobby longs music ! Although i can't find it anywhere to download it ,"Îmi place muzica lui Bobby Long! Cu toate acestea, nu o pot găsi nicăieri pentru a o descărca.",0
"@rebekahhah We'll be filming / tweeting / blogging, so you'll be able to see all the doggy guests. ","Vom filma / tweeta / bloga, deci veți putea vedea toți oaspeții canini.",4
Rahman's performing 2row in Pune. But I will not be able to make it ,Rahman va cânta mâine în Pune. Dar nu voi putea ajunge.,0
@PeterJWestwick oooo wanna share with me?! ,"Oooo, vrei să împarți cu mine?!",4
...And they cannot.  I wish i was in Las Vegas with my sister. I miss her.,...Și nu pot. Aș vrea să fiu în Las Vegas cu sora mea. Mi-e dor de ea.,0
@staureby More like Mr. FluMan right now i think. ,"Mai degrabă domnul FluMan acum, cred.",4
@denkc for reals? ,Serios?,0
"Here is a new art piece I'm wrking on for fun... http://bit.ly/gMhuG  , let me know what u think ","Iată o nouă piesă de artă la care lucrez pentru distracție... http://bit.ly/gMhuG, spune-mi ce părere ai.",4
listening some music ,Ascult puțină muzică.,4
@eedawson It's not gonna storm!  because I said so! ,Nu va fi furtună! Pentru că eu așa am spus!,0
got back from hastings/bexhill last night - brill wknd got a little bit burnt - ooops ,"M-am întors de la Hastings/Bexhill aseară - weekend minunat, am prins puțină arsură - ups.",4
"@peterfacinelli I just got a screencap of your followers at 496,000 or so... OMG you're either so close or Twitter is messed up again ","Am primit un captură de ecran cu urmăritorii tăi la aproximativ 496.000... Doamne, ești atât de aproape sau Twitter este din nou în haos.",0
ugh I am literally the king of passing out early...left my laundry in the dryer in the basement for HOURS and missed a party in 2E ,"Ugh, sunt literalmente regele adormirii devreme... am lăsat rufele în uscător în subsol pentru ORE și am ratat o petrecere în 2E.",0
@iCrunchy I WISH I could do ap hwk ,Aș vrea să pot face temele pentru ap.,0
@JackAllTimeLow I think I'd enjoy it more if it wasn't so smoky  but we'll probably go!,"Cred că mi-ar plăcea mai mult dacă nu ar fi atât de plin de fum, dar probabil vom merge!",0
ahhh noooo.....now everyone will know I'm gullible ,Ahhh nuuu... acum toată lumea va ști că sunt naiv.,0
@fallenstar_ Yeah it is! Why haven't they put the grey one up? ,"Da, așa este! De ce nu au pus și pe cel gri?",0
"@crazydiamondsi Eh up you  We are talking SAAB 9-5 se, estate too. Had to get a 2.0t as insurance wouldn't touch Poppet on a 2.3t ","Ei bine, vorbim despre SAAB 9-5 se, break. A trebuit să iau un 2.0t pentru că asigurarea nu ar fi acoperit un 2.3t.",0
"@gingy23  I know, this week will be amazing. they're like 15 mins away from me omg omg","Știu, săptămâna aceasta va fi uimitoare. Sunt la doar 15 minute distanță de mine, oh, oh.",4
i hate mornings. Even friday mornings. Wish i wasn't so tired.... ,Urăsc diminețile. Chiar și diminețile de vineri. Aș vrea să nu fiu atât de obosit...,0
@Adri214 Hey...  I know you!!  ,Hei... te cunosc!!,4
@spytel we got thrown under the bus by friends were left behind to sit together. We agreed we in out on purpose sometime this week ,"Am fost trădat de prieteni, am fost lăsați în urmă să stăm împreună. Am convenit că uneori ne retragem intenționat în această săptămână.",4
@mtvawards can other countries view the live feed as well? Thanks for your time. ,Pot și alte țări să vadă transmisia live? Mulțumesc pentru timpul acordat.,4
@tommcfly http://twitpic.com/53nhq  &lt;3 When you guys doing a signing in scotland again?  there sooo fun &lt;3 XXXXXXX,Când faceți o sesiune de autografe în Scoția din nou? Sunt atât de distractive. XXXXXXX,4
@travismcglasson Some really awesome girls... ,Câteva fete cu adevărat minunate...,4
feck i heard. ,Am auzit că s-a întâmplat.,0
hey guys hows it hangin not much news but one of my BFF's just cracked a rib kind of feel sorry 4 her i just got the sickest beats of T.I ,"Salut, ce mai faceți? Nu prea multe știri, dar una dintre cele mai bune prietene ale mele și-a crăpat o coastă, îmi pare rău pentru ea, tocmai am primit cele mai tari ritmuri de la T.I.",4
Favorite party about last night... Getting attention from guys while you sat and watched! ,Cea mai bună parte despre petrecerea de aseară... Atrăgând atenția băieților în timp ce stăteai și priveai!,4
Will be away for a few minutes now. LUNCH!  hehe x,Voi fi plecat pentru câteva minute acum. PRÂNZ! hehe x,4
just finished working out ,Tocmai am terminat antrenamentul.,4
"@KayluvsChrisM Pleasseee, I need it ","Te rog, nu pleca, Tevez! Mai degrabă l-aș da afară pe Berbatov, să fiu sincer. Un jucător leneș cu o etichetă de 30 de milioane.",0
"Please don't leave, Tevez!  I rather dump Berbatov to be honest. a lazy player with 30 Mil tag. http://tinyurl.com/oddnpu (via @MUFCNews)",,0
@TheSourceress awww well sleep well when you fall asleep ,"@TheSourceress awww, dormi bine când adormi",4
Just attempting to watch Quantum of Solace again after leaving it disappointed sometime ago... Yes it is as crap as I remembered ,"Încerc să vizionez Quantum of Solace din nou după ce am plecat dezamăgită acum ceva timp... Da, este la fel de prost cum îmi aminteam",0
just woke up!!  off to Westfield in a while. AGAAAIIN - COMMENT*SUBSCRIBE http://youtube.com/anyuhh ; http://anja02.multiply.com/video,tocmai m-am trezit!! plec la Westfield în curând. DIN NOU - COMENTARIU*ABONARE http://youtube.com/anyuhh ; http://anja02.multiply.com/video,4
"Spent evening looking after suki doggy shitting herself everywhere, falling off the decking into ditch and whining &amp; running into things ","Am petrecut seara având grijă de câinele suki care se caca peste tot, căzând de pe terasă în șanț și plângând și lovindu-se de lucruri",0
@iamjonathancook WHY ARENT YOU GUYS COMING TO TORONTOS WARPED TOUR DATE ?! same with atl. whatta dissapointment ,@iamjonathancook DE CE NU VENIȚI LA DATA WARPED TOUR DIN TORONTO?! la fel și cu atl. ce dezamăgire,0
On my way to @wesleyshearer's for breakfast ,În drum spre casa lui @wesleyshearer pentru micul dejun,4
"Good morning! Feeling a little sNaRkY this morning.  How are you, you, you AND you?  ","Bună dimineața! Mă simt un pic picanter astăzi dimineață. Tu cum ești, tu, tu ȘI tu?",4
